student_id,timestamp,word_count,reply_count
S001,2025-03-27 04:00:00,142,1
S001,2025-04-04 14:00:00,186,3
S001,2025-02-02 12:00:00,103,5
S001,2025-01-07 14:00:00,33,6
S001,2025-01-19 21:00:00,167,7
S002,2025-03-04 09:00:00,124,8
S002,2025-01-08 09:00:00,36,1
S002,2025-01-06 04:00:00,175,8
S002,2025-03-10 17:00:00,188,0
S003,2025-02-18 11:00:00,90,2
S003,2025-01-10 01:00:00,108,2
S003,2025-03-21 01:00:00,143,7
S003,2025-03-15 05:00:00,41,9
S003,2025-02-12 22:00:00,58,5
S003,2025-01-20 08:00:00,167,2
S003,2025-03-25 02:00:00,130,1
S003,2025-01-30 20:00:00,53,5
S003,2025-03-08 05:00:00,46,9
S003,2025-03-14 00:00:00,115,5
S003,2025-02-28 03:00:00,78,1
S003,2025-01-29 03:00:00,84,2
S003,2025-01-26 09:00:00,72,5
S004,2025-02-17 20:00:00,142,7
S004,2025-01-22 03:00:00,117,8
S004,2025-01-28 00:00:00,132,3
S004,2025-01-07 16:00:00,156,3
S004,2025-03-24 00:00:00,157,3
S005,2025-02-15 09:00:00,179,5
S005,2025-02-17 05:00:00,164,9
S005,2025-01-27 21:00:00,197,2
S005,2025-03-26 14:00:00,34,3
S005,2025-04-03 08:00:00,174,9
S005,2025-01-19 23:00:00,111,0
S005,2025-02-12 08:00:00,189,1
S005,2025-03-25 12:00:00,187,6
S005,2025-01-23 14:00:00,199,0
S005,2025-03-10 10:00:00,195,1
S005,2025-02-09 10:00:00,80,1
S006,2025-03-03 00:00:00,94,1
S006,2025-04-04 15:00:00,157,1
S006,2025-02-07 18:00:00,183,7
S006,2025-02-15 02:00:00,121,0
S006,2025-04-01 13:00:00,27,2
S007,2025-03-22 08:00:00,153,8
S007,2025-02-08 16:00:00,47,0
S007,2025-02-23 04:00:00,156,1
S007,2025-02-25 20:00:00,21,9
S007,2025-03-01 05:00:00,187,3
S007,2025-02-06 14:00:00,111,1
S007,2025-04-08 21:00:00,158,9
S007,2025-02-26 12:00:00,23,5
S007,2025-01-07 10:00:00,73,7
S007,2025-03-09 14:00:00,148,6
S007,2025-01-03 13:00:00,185,1
S007,2025-01-01 05:00:00,57,4
S008,2025-03-15 20:00:00,128,3
S008,2025-03-24 02:00:00,88,0
S008,2025-03-09 11:00:00,46,7
S008,2025-01-23 20:00:00,80,9
S008,2025-02-21 23:00:00,172,6
S008,2025-02-15 22:00:00,115,4
S008,2025-02-05 13:00:00,196,9
S009,2025-02-08 15:00:00,116,0
S009,2025-03-26 08:00:00,25,2
S009,2025-02-04 06:00:00,169,8
S009,2025-01-05 09:00:00,106,0
S009,2025-03-17 22:00:00,177,8
S009,2025-03-27 08:00:00,48,4
S009,2025-03-28 12:00:00,179,3
S009,2025-01-23 12:00:00,164,6
S009,2025-03-26 01:00:00,153,1
S009,2025-04-04 21:00:00,52,0
S009,2025-02-01 09:00:00,141,9
S009,2025-02-05 01:00:00,47,6
S010,2025-02-16 21:00:00,146,2
S010,2025-01-15 23:00:00,91,8
S010,2025-02-16 00:00:00,38,2
S010,2025-03-15 07:00:00,194,9
S010,2025-03-06 17:00:00,117,2
S010,2025-01-13 21:00:00,148,1
S010,2025-04-03 15:00:00,67,0
S010,2025-03-05 06:00:00,147,7
S010,2025-01-26 16:00:00,90,4
S011,2025-02-18 02:00:00,26,9
S011,2025-02-18 06:00:00,72,0
S011,2025-03-03 16:00:00,190,8
S011,2025-01-03 14:00:00,48,4
S011,2025-02-01 15:00:00,44,5
S011,2025-01-28 08:00:00,139,7
S011,2025-03-06 21:00:00,99,8
S011,2025-02-20 21:00:00,176,2
S011,2025-01-19 01:00:00,188,2
S011,2025-01-11 20:00:00,193,8
S011,2025-01-18 18:00:00,147,1
S011,2025-04-06 07:00:00,41,5
S012,2025-02-26 07:00:00,55,3
S012,2025-02-26 16:00:00,192,1
S012,2025-03-07 12:00:00,64,5
S012,2025-03-20 19:00:00,142,9
S012,2025-04-03 02:00:00,102,2
S012,2025-02-23 13:00:00,83,7
S012,2025-02-28 22:00:00,81,3
S012,2025-03-01 19:00:00,94,9
S012,2025-04-05 10:00:00,115,1
S012,2025-03-03 16:00:00,156,1
S012,2025-03-02 23:00:00,67,8
S012,2025-02-05 07:00:00,77,4
S012,2025-02-14 06:00:00,77,3
S012,2025-03-22 02:00:00,63,6
S013,2025-01-09 05:00:00,176,9
S013,2025-01-17 15:00:00,150,4
S013,2025-03-05 03:00:00,81,9
S013,2025-03-17 09:00:00,32,5
S013,2025-01-16 07:00:00,123,8
S013,2025-02-09 12:00:00,149,9
S013,2025-02-13 10:00:00,99,0
S013,2025-03-31 01:00:00,197,2
S013,2025-03-31 22:00:00,165,0
