Month,Date,Winning Numbers,Power Play
Aug,Aug 6,"[15, 27, 43, 45, 53, 9]",2x
Aug,Aug 9,"[7, 14, 23, 24, 60, 14]",2x
Aug,Aug 11,"[6, 16, 33, 40, 62, 2]",2x
Aug,Aug 13,"[4, 11, 40, 44, 50, 4]",3x
Aug,Aug 16,"[23, 40, 49, 65, 69, 23]",3x
Aug,Aug 18,"[15, 46, 61, 63, 64, 1]",3x
Aug,Aug 20,"[31, 59, 62, 65, 68, 5]",3x
Aug,Aug 23,"[11, 14, 34, 47, 51, 18]",2x
Aug,Aug 25,"[16, 19, 34, 37, 64, 22]",3x
Aug,Aug 27,"[9, 12, 22, 41, 61, 25]",4x
Aug,Aug 30,"[3, 18, 22, 27, 33, 17]",3x
Sep,Sep 1,"[5, 12, 28, 36, 44, 7]",2x
Sep,Sep 3,"[2, 9, 18, 31, 50, 5]",3x
Sep,Sep 6,"[10, 22, 29, 40, 61, 4]",2x
Sep,Sep 8,"[6, 15, 26, 33, 58, 3]",3x
Sep,Sep 10,"[8, 17, 23, 38, 55, 10]",2x
Sep,Sep 13,"[3, 14, 20, 45, 62, 2]",3x
Sep,Sep 15,"[1, 11, 27, 35, 48, 6]",2x
Sep,Sep 17,"[9, 19, 32, 41, 59, 8]",3x
Sep,Sep 20,"[4, 16, 21, 36, 50, 12]",2x
Sep,Sep 22,"[7, 18, 29, 42, 54, 15]",3x
Sep,Sep 24,"[5, 13, 24, 39, 57, 2]",2x
Oct,Oct 1,"[2, 10, 18, 28, 33, 5]",2x
Oct,Oct 4,"[6, 14, 22, 32, 41, 8]",2x
Oct,Oct 6,"[1, 9, 19, 27, 50, 12]",3x
Oct,Oct 8,"[3, 12, 25, 34, 52, 3]",3x
Oct,Oct 11,"[5, 11, 20, 37, 56, 7]",2x
Oct,Oct 13,"[7, 16, 23, 39, 60, 2]",2x
Oct,Oct 15,"[4, 13, 21, 36, 49, 6]",3x
Oct,Oct 18,"[8, 17, 24, 40, 53, 10]",2x
Oct,Oct 20,"[9, 19, 29, 42, 58, 5]",3x
Oct,Oct 22,"[6, 15, 22, 38, 51, 3]",2x
Oct,Oct 25,"[2, 14, 26, 33, 54, 8]",3x
