List Name,Title,Author,Publisher,Description,Rank,Weeks on List,ISBN-10,ISBN-13
Combined Print & E-Book Fiction,THE BLACK WOLF,Louise Penny,Minotaur,"The 20th book in the Chief Inspector Gamache series. After thwarting a terrorist attack, an injured Gamache leads a covert investigation.",1,1,,9781250328182
Combined Print & E-Book Fiction,THE WIDOW,John Grisham,Doubleday,"When Simon Latch, a lawyer in rural Virginia, is accused of murder, he goes in search of the real killer.",2,2,,9780385548984
Combined Print & E-Book Fiction,BONDS OF HERCULES,Jasmine Mas,Canary Street,The second book in the Villains of Lore series. Seduction and danger put Hercules in a tough spot.,3,1,,9781335146984
Combined Print & E-Book Fiction,THE SECRET OF SECRETS,Dan Brown,Doubleday,"As he searches for the missing noetic scientist he has been seeing, Robert Langdon discovers something regarding a secret project.",4,8,,9780385546898
Combined Print & E-Book Fiction,THE PROVING GROUND,Michael Connelly,"Little, Brown",The eighth book in the Lincoln Lawyer series. Mickey Haller enlists a journalist to help his lawsuit against an A.I. company.,5,2,,9780316563826
Combined Print & E-Book Fiction,THE DEFENDER,Ana Huang,Bloom,"The second book in the Gods of the Game series. A professional athlete and the coach’s daughter, who is a sports nutritionist, share a flat.",6,1,,9781464223334
Combined Print & E-Book Fiction,THE TIN MEN,Nelson DeMille and Alex DeMille,Simon & Schuster,The third book in the Scott Brodie & Maggie Taylor series. An investigation into the death of a military scientist surfaces troubling technology.,7,1,,9781501101892
Combined Print & E-Book Fiction,GONE BEFORE GOODBYE,Reese Witherspoon and Harlan Coben,Grand Central,"When a mysterious man disappears, the former combat surgeon giving him medical assistance goes on the lam.",8,3,,9781538774700
Combined Print & E-Book Fiction,ALCHEMISED,SenLinYu,Del Rey,"After the war, an imprisoned alchemist is sent to a necromancer to recover her lost memories.",9,6,,9780593972700
Combined Print & E-Book Fiction,REMAIN,Nicholas Sparks with M. Night Shyamalan,Random House,"A New York architect moves to Cape Cod, where he enters a relationship that brings up a lot of questions.",10,3,,9798217154043
Combined Print & E-Book Fiction,MATE,Ali Hazelwood,Berkley,"To help stave off her enemies, Serena Paris, a Human-Were hybrid, forms a partnership with Koen Alexander.",11,4,,9780593952580
Combined Print & E-Book Fiction,TWICE,Mitch Albom,Harper,"Alfie Logan, who was gifted with the ability to live any moment a second time but must accept the outcomes, makes a risky love decision.",12,4,,9780062406682
Combined Print & E-Book Fiction,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,13,103,,9781538742570
Combined Print & E-Book Fiction,THE INTRUDER,Freida McFadden,Poisoned Pen,"During a rough storm, Casey puts herself in danger when she lets a girl, who is covered in blood, into her cabin.",14,4,,9781464260919
Combined Print & E-Book Fiction,WRECK,Catherine Newman,Harper,Shifts in circumstances affect Rocky and her family.,15,1,,9780063453913
Combined Print & E-Book Nonfiction,NOBODY'S GIRL,Virginia Roberts Giuffre,Knopf,The late activist and advocate for sex-trafficking survivors describes her time with Jeffrey Epstein and Ghislaine Maxwell.,1,2,,9780593493120
Combined Print & E-Book Nonfiction,HOW TO TEST NEGATIVE FOR STUPID,John Kennedy,Broadside,"The Republican senator from Louisiana shares stories about politics in Washington, D.C., and in his home state.",2,4,,9780063428164
Combined Print & E-Book Nonfiction,1929,Andrew Ross Sorkin,Viking,The New York Times journalist and CNBC host looks at the fight between Washington and Wall Street that fueled a historic crash of the stock market.,3,3,,9780593296967
Combined Print & E-Book Nonfiction,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,4,101,,9780593236598
Combined Print & E-Book Nonfiction,THE UNCOOL,Cameron Crowe,Avid Reader,The journalist and Academy Award-winning filmmaker shares real-life events that inspired “Almost Famous.”,5,1,,9781668059432
Combined Print & E-Book Nonfiction,"THAT'S A GREAT QUESTION, I'D LOVE TO TELL YOU",Elyse Myers,Morrow,A collection of stories and illustrations by the comedian and content creator.,6,1,,9780063381308
Combined Print & E-Book Nonfiction,TO RESCUE THE AMERICAN SPIRIT,Bret Baier with Catherine Whitney,Mariner,The Fox News Channel’s chief political anchor chronicles the life and times of Theodore Roosevelt.,7,2,,9780063360754
Combined Print & E-Book Nonfiction,RETRIBUTION,Jonathan Karl,Dutton,The chief Washington correspondent for ABC News and author of “Tired of Winning” chronicles President Trump’s return to the White House.,8,1,,9798217047000
Combined Print & E-Book Nonfiction,107 DAYS,Kamala Harris,Simon & Schuster,The former vice president recounts her abbreviated campaign to become president in 2024.,9,6,,9781668211656
Combined Print & E-Book Nonfiction,UNDER SIEGE,Eric Trump,Threshold Editions,The executive vice president of the Trump Organization shares his belief that attacks on his family are attacks on America.,10,3,,9781668205877
